feature	sample	value
B_cells_memory	TCGA-02-0047	0.0143643864756758
B_cells_memory	TCGA-02-0055	0.00595807777039155
B_cells_memory	TCGA-02-2483	0.00154913189975772
B_cells_memory	TCGA-02-2485	0.0164857372626072
B_cells_memory	TCGA-02-2486	0
B_cells_memory	TCGA-04-1348	0
B_cells_memory	TCGA-04-1357	0.0406865712040189
B_cells_memory	TCGA-04-1362	0.0289926806423834
B_cells_memory	TCGA-04-1364	0.0271556873829538
B_cells_memory	TCGA-04-1365	0.0498324511864502
B_cells_memory	TCGA-04-1514	0
B_cells_memory	TCGA-04-1519	0
B_cells_memory	TCGA-05-4244	0.0207723957135575
B_cells_memory	TCGA-05-4249	0.0301428489613405
B_cells_memory	TCGA-05-4382	0.00694957824984696
B_cells_memory	TCGA-05-4384	0
B_cells_memory	TCGA-05-4389	0
B_cells_memory	TCGA-05-4390	0.0165999558808789
B_cells_memory	TCGA-05-4395	0.00722196091298351
B_cells_memory	TCGA-05-4396	0.0401934869812391
B_cells_memory	TCGA-05-4398	0
B_cells_memory	TCGA-05-4402	0
B_cells_memory	TCGA-05-4403	0
B_cells_memory	TCGA-05-4405	0
B_cells_memory	TCGA-05-4410	0
B_cells_memory	TCGA-05-4415	0
B_cells_memory	TCGA-05-4417	0
B_cells_memory	TCGA-05-4418	0
B_cells_memory	TCGA-05-4420	0
B_cells_memory	TCGA-05-4422	0
B_cells_memory	TCGA-05-4424	0
B_cells_memory	TCGA-05-4425	0.0148886039384391
B_cells_memory	TCGA-05-4426	0
B_cells_memory	TCGA-05-4430	0
B_cells_memory	TCGA-05-4432	0
B_cells_memory	TCGA-05-4433	0.0235835532661026
B_cells_memory	TCGA-05-5423	0.022996305513146
B_cells_memory	TCGA-05-5425	0
B_cells_memory	TCGA-05-5428	0.0190233793042985
B_cells_memory	TCGA-05-5429	0
B_cells_memory	TCGA-05-5715	0
B_cells_memory	TCGA-06-0125	0
B_cells_memory	TCGA-06-0129	0
B_cells_memory	TCGA-06-0130	0
B_cells_memory	TCGA-06-0132	0
B_cells_memory	TCGA-06-0138	0.0048012504813772
B_cells_memory	TCGA-06-0141	0.015569229695876
B_cells_memory	TCGA-06-0156	0.024198392683227
B_cells_memory	TCGA-06-0157	0.0186899568448512
B_cells_memory	TCGA-06-0158	0.0132131945832957
B_cells_memory	TCGA-06-0168	0.0403808798313777
B_cells_memory	TCGA-06-0174	0.00176217748601939
B_cells_memory	TCGA-06-0178	0.0204498032823693
B_cells_memory	TCGA-06-0184	0
B_cells_memory	TCGA-06-0187	0.00596929908752112
B_cells_memory	TCGA-06-0190	0.00160782590315928
B_cells_memory	TCGA-06-0210	0.00711238172364504
B_cells_memory	TCGA-06-0211	0.00421164678331258
B_cells_memory	TCGA-06-0219	0.0125556557664341
B_cells_memory	TCGA-06-0238	0.0413439189996514
B_cells_memory	TCGA-06-0644	0.0208027202931272
B_cells_memory	TCGA-06-0645	0.00514230759296283
B_cells_memory	TCGA-06-0646	0.00301528477496354
B_cells_memory	TCGA-06-0649	0
B_cells_memory	TCGA-06-0686	0.0101651078892291
B_cells_memory	TCGA-06-0743	0.0327604387559869
B_cells_memory	TCGA-06-0744	0.0134644788692444
B_cells_memory	TCGA-06-0745	0.00975313876010163
B_cells_memory	TCGA-06-0747	0.014532272754634
B_cells_memory	TCGA-06-0749	0.0430568146994651
B_cells_memory	TCGA-06-0750	0.0416424284540085
B_cells_memory	TCGA-06-0878	0.00720066265883244
B_cells_memory	TCGA-06-0882	0.00174697539550163
B_cells_memory	TCGA-06-1804	0.0648556645981342
B_cells_memory	TCGA-06-2557	0
B_cells_memory	TCGA-06-2558	0.0225941350565206
B_cells_memory	TCGA-06-2559	0
B_cells_memory	TCGA-06-2561	0.00208391670771986
B_cells_memory	TCGA-06-2562	0.00422759862148061
B_cells_memory	TCGA-06-2563	0
B_cells_memory	TCGA-06-2564	0
B_cells_memory	TCGA-06-2565	0.0137217426161632
B_cells_memory	TCGA-06-2567	0.00976658375702877
B_cells_memory	TCGA-06-2569	0
B_cells_memory	TCGA-06-2570	0.0205086545351791
B_cells_memory	TCGA-06-5408	0.00268845859579689
B_cells_memory	TCGA-06-5410	0.0102007258419423
B_cells_memory	TCGA-06-5411	0.0206183443901236
B_cells_memory	TCGA-06-5412	0.00748606653521965
B_cells_memory	TCGA-06-5413	0.0340022513949225
B_cells_memory	TCGA-06-5414	0
B_cells_memory	TCGA-06-5415	0.0264015496292544
B_cells_memory	TCGA-06-5416	0.0045643719035487
B_cells_memory	TCGA-06-5417	0.00178201839586217
B_cells_memory	TCGA-06-5418	0.0310896125006185
B_cells_memory	TCGA-06-5856	0.00707047919134202
B_cells_memory	TCGA-06-5858	0.00516202674328922
B_cells_memory	TCGA-06-5859	0.0067029658679989
B_cells_memory	TCGA-08-0386	0
B_cells_memory	TCGA-09-0364	0.0869230876056194
B_cells_memory	TCGA-09-0366	0.0236320247825196
B_cells_memory	TCGA-09-0367	0.125708518445893
B_cells_memory	TCGA-09-0369	0
B_cells_memory	TCGA-09-1659	0.115433765749342
B_cells_memory	TCGA-09-1662	0.0328133009995641
B_cells_memory	TCGA-09-1666	0.0227642429323902
B_cells_memory	TCGA-09-1667	0
B_cells_memory	TCGA-09-1668	0
B_cells_memory	TCGA-09-1669	0
B_cells_memory	TCGA-09-1670	0.0261543997344508
B_cells_memory	TCGA-09-1673	0.0205703630422702
B_cells_memory	TCGA-09-1674	0.138582523044631
B_cells_memory	TCGA-09-2044	0.0616096099310981
B_cells_memory	TCGA-09-2045	0.0163626088362249
B_cells_memory	TCGA-09-2048	0.140104517995036
B_cells_memory	TCGA-09-2051	0
B_cells_memory	TCGA-09-2054	0.00313811734624702
B_cells_memory	TCGA-10-0928	0.111304412337968
B_cells_memory	TCGA-10-0936	0
B_cells_memory	TCGA-12-0616	0
B_cells_memory	TCGA-12-0618	0
B_cells_memory	TCGA-12-0619	0.016698135885223
B_cells_memory	TCGA-12-0821	0
B_cells_memory	TCGA-12-1597	0.0437058098182701
B_cells_memory	TCGA-12-3650	0.0128892115720596
B_cells_memory	TCGA-12-3652	0
B_cells_memory	TCGA-12-3653	0
B_cells_memory	TCGA-12-5295	0.00150708704652656
B_cells_memory	TCGA-12-5299	0.00132073069400558
B_cells_memory	TCGA-13-0730	0.119175854411704
B_cells_memory	TCGA-13-0799	0.0898589284999103
B_cells_memory	TCGA-13-0800	0
B_cells_memory	TCGA-13-0801	0.027218872110326
B_cells_memory	TCGA-13-0890	0.0258173336200999
B_cells_memory	TCGA-13-0893	0
B_cells_memory	TCGA-13-0897	0.00691120045736605
B_cells_memory	TCGA-13-0899	0.143215868331912
B_cells_memory	TCGA-13-0913	0.108588108847743
B_cells_memory	TCGA-13-0916	0
B_cells_memory	TCGA-13-0920	0.0118240697455408
B_cells_memory	TCGA-13-0924	0.0540001315258721
B_cells_memory	TCGA-13-1403	0.0434704321513011
B_cells_memory	TCGA-13-1405	0
B_cells_memory	TCGA-13-1410	0.0484162147636037
B_cells_memory	TCGA-13-1411	0.0181893000553294
B_cells_memory	TCGA-13-1481	0.00489356190973648
B_cells_memory	TCGA-13-1497	0.0536534757258455
B_cells_memory	TCGA-13-1498	0.0590814995738624
B_cells_memory	TCGA-13-1505	0.0388690920551863
B_cells_memory	TCGA-13-1506	0
B_cells_memory	TCGA-13-1507	0.031132781250022
B_cells_memory	TCGA-13-1511	0.0687291985715333
B_cells_memory	TCGA-13-1512	0.0451908963931763
B_cells_memory	TCGA-13-2060	0
B_cells_memory	TCGA-13-A5FT	0.0779901947176659
B_cells_memory	TCGA-14-0781	0
B_cells_memory	TCGA-14-0787	0.078496007051979
B_cells_memory	TCGA-14-0789	0.00649040422753785
B_cells_memory	TCGA-14-0790	0
B_cells_memory	TCGA-14-0817	0.00607965974432236
B_cells_memory	TCGA-14-0871	0.00250610934888565
B_cells_memory	TCGA-14-1034	0.0105435823741532
B_cells_memory	TCGA-14-1823	0.00598948868756149
B_cells_memory	TCGA-14-1825	0.0352957976345426
B_cells_memory	TCGA-14-1829	0.0159570976393913
B_cells_memory	TCGA-14-2554	0.0117868499988086
B_cells_memory	TCGA-15-0742	0.0041523761009226
B_cells_memory	TCGA-15-1444	0.00733446920291881
B_cells_memory	TCGA-16-0846	0.0118463780740261
B_cells_memory	TCGA-16-1045	0
B_cells_memory	TCGA-18-3406	0
B_cells_memory	TCGA-18-3407	0.0137947355202054
B_cells_memory	TCGA-18-3408	0
B_cells_memory	TCGA-18-3410	0
B_cells_memory	TCGA-18-3411	0
B_cells_memory	TCGA-18-3412	0.0124964498031105
B_cells_memory	TCGA-18-3414	0
B_cells_memory	TCGA-18-3415	0
B_cells_memory	TCGA-18-3416	0.0234664501175629
B_cells_memory	TCGA-18-3417	0
B_cells_memory	TCGA-18-3419	0
B_cells_memory	TCGA-18-3421	0
B_cells_memory	TCGA-18-4083	0
B_cells_memory	TCGA-18-4086	0
B_cells_memory	TCGA-18-4721	0.00337604662840066
B_cells_memory	TCGA-18-5592	0
B_cells_memory	TCGA-19-1390	0
B_cells_memory	TCGA-19-1787	0.0546809012550797
B_cells_memory	TCGA-19-2619	0.0202937339453731
B_cells_memory	TCGA-19-2620	0
B_cells_memory	TCGA-19-2624	0
B_cells_memory	TCGA-19-2625	2.73330359617981e-5
B_cells_memory	TCGA-19-2629	0.00362451486719951
B_cells_memory	TCGA-19-4065	0.0948998052120707
B_cells_memory	TCGA-19-5960	0
B_cells_memory	TCGA-20-1682	0
B_cells_memory	TCGA-20-1683	0
B_cells_memory	TCGA-20-1684	0.00576648797288285
B_cells_memory	TCGA-20-1685	0.0160135375832308
B_cells_memory	TCGA-20-1687	0
B_cells_memory	TCGA-21-1071	0
B_cells_memory	TCGA-21-1072	0
B_cells_memory	TCGA-21-1075	0
B_cells_memory	TCGA-21-1076	0
B_cells_memory	TCGA-21-1079	0
B_cells_memory	TCGA-21-1080	0
B_cells_memory	TCGA-21-1081	0.00741076708532399
B_cells_memory	TCGA-21-1082	0
B_cells_memory	TCGA-21-5782	0.0577250169980794
B_cells_memory	TCGA-21-5783	0
B_cells_memory	TCGA-21-5784	0.0626417910702771
B_cells_memory	TCGA-21-5786	0
B_cells_memory	TCGA-21-5787	0
B_cells_memory	TCGA-22-0940	0
B_cells_memory	TCGA-22-0944	0
B_cells_memory	TCGA-22-1000	0
B_cells_memory	TCGA-22-1002	0
B_cells_memory	TCGA-22-1005	0.0717864240392955
B_cells_memory	TCGA-22-1011	0.0895037038095585
B_cells_memory	TCGA-22-1012	0
B_cells_memory	TCGA-22-1016	0
B_cells_memory	TCGA-22-1017	0
B_cells_memory	TCGA-22-4591	0.0476446521921668
B_cells_memory	TCGA-22-4593	0
B_cells_memory	TCGA-22-4594	0.0164487256057216
B_cells_memory	TCGA-22-4595	0
B_cells_memory	TCGA-22-4596	0
B_cells_memory	TCGA-22-4599	0
B_cells_memory	TCGA-22-4601	0
B_cells_memory	TCGA-22-4604	0
B_cells_memory	TCGA-22-4605	0.00318385660717489
B_cells_memory	TCGA-22-4607	0
B_cells_memory	TCGA-22-4609	0
B_cells_memory	TCGA-22-4613	0
B_cells_memory	TCGA-22-5471	0
B_cells_memory	TCGA-22-5472	0
B_cells_memory	TCGA-22-5473	0
B_cells_memory	TCGA-22-5474	0
B_cells_memory	TCGA-22-5477	0
B_cells_memory	TCGA-22-5478	0.0948293744534438
B_cells_memory	TCGA-22-5479	0
B_cells_memory	TCGA-22-5480	0
B_cells_memory	TCGA-22-5481	0
