sample	value	feature
S1	62	immunarch_n_unique_clonotypes
S2	10730	immunarch_n_unique_clonotypes
S1	81	immunarch_n_clones
S2	124716	immunarch_n_clones
S1	230.3827160493827	immunarch_chao1_diversity
S2	14804.848890191523	immunarch_chao1_diversity
S1	30.887178334637127	immunarch_true_diversity
S2	21.138934826031008	immunarch_true_diversity
S1	0.9782045419905502	immunarch_gini_simpson_diversity
S2	0.985914601907668	immunarch_gini_simpson_diversity
S1	45.881118881118894	immunarch_inverse_simpson_diversity
S2	70.99550850070725	immunarch_inverse_simpson_diversity
S1	0.21088848411252792	immunarch_gini_diversity
S2	0.8597712070897129	immunarch_gini_diversity
S1	21	immunarch_d50_diversity
S2	49	immunarch_d50_diversity
S1	21	immunarch_dx_diversity
S2	49	immunarch_dx_diversity
