Hugo	test_sample1	test_sample2
5_8S_rRNA	0	0
5S_rRNA	0	0
7SK	0	0
A1BG	0.924019	0
A1BG-AS1	6.45433	6.9402800000000004
A1CF	0.2152833598064	0.4195231892991
A2M	5.81524	11.33216
A2M-AS1	3.89822	3.79824
A2ML1	0	0
A2ML1-AS1	0	0
A2ML1-AS2	0	0
A2MP1	11.39172	11.099499999999999
A3GALT2	0	0
A4GALT	0	0
A4GNT	0	0
AA06	0	0
AAAS	47.22987	48.546289
AACS	8.567169	14.427299999999999
AACSP1	0	0
AADAC	0	0
AADACL2	0	0
AADACL2-AS1	0	0
AADACL3	0	0
AADACL4	0	0
AADACP1	0	0
AADAT	0	0
AAED1	6.58266	9.11874
AAGAB	20.93128	17.18644
AAK1	48.167159999999996	49.27603
AAMDC	13.10181	17.04928
AAMP	39.08000176493	47.53926
AANAT	0	0
AAR2	6.131919999999999	5.9746500000000005
AARD	0	0
AARS	14.902460000000001	19.711284
AARS2	1.08127	1.07276
AARSD1	32.28004	28.12469
AARSP1	0	0
AASDH	9.47458	5.48542
AASDHPPT	1.57079	1.53051
AASS	0	0
AATBC	0	0
AATF	34.6065	33.7189
AATK	0	0
AATK-AS1	0	0
AB015752.3	0	0
AB019438.66	0	0
AB019440.50	0	0
AB019441.29	0	0
ABALON	0	0
ABAT	7.53190521	12.41237557
ABC11-4932300O16.1	0	0
ABC12-47043100G14.2	0	0
ABC12-47964100C23.1	0	0
ABC12-49244600F4.4	6.34169	2.29441
ABC7-42391500H16.4	0	0
ABC7-42404400C24.1	0	0
ABC7-42418200C9.1	0	0
ABC7-481722F1.1	0	0
ABC7-481722F1.2	0	0
ABCA1	1.13198	1.10295
ABCA10	5.0449	9.83102
ABCA11P	15.44518	12.9621
ABCA12	0	0
ABCA13	0.929107	0
ABCA17P	14.549	14.173567
ABCA2	94.85896	102.00818
ABCA3	0.62183	0.605882
ABCA4	0	0
ABCA5	15.65458	15.253070000000001
ABCA6	0	0
ABCA7	161.0011212339603	170.95637572025998
ABCA8	0	0
ABCA9	0	0
ABCA9-AS1	5.2212	0
ABCB1	3.30321	6.43698
ABCB10	5.7294599999999996	5.58251
ABCB10P1	0	0
ABCB10P3	0	0
ABCB10P4	0	0
ABCB11	0	0
ABCB4	0	0
ABCB5	0.347437	0
ABCB6	25.703339999999997	28.8095
ABCB7	22.19113	16.23033
ABCB8	32.949780000000004	27.38878
ABCB9	1.08775	2.14945
ABCC1	15.19089	14.13602
ABCC10	90.383438563	80.090126093
ABCC11	0	0
ABCC12	0	0
ABCC13	0.933663	1.55847
ABCC2	9.318	0
ABCC3	0	0
ABCC4	1.470873	1.43315
ABCC5	17.195165	16.754137
ABCC5-AS1	0	0
ABCC6	0.9424	1.83646
ABCC6P1	0	0
ABCC6P2	0	0
ABCC8	0	0
ABCC9	0	0
ABCD1	15.11794	13.86169
ABCD1P2	0	0
ABCD1P3	0	0
ABCD1P4	0	0
ABCD1P5	0	0
ABCD2	3.85949	3.7605
ABCD3	15.87238	11.99745
ABCD4	99.4325	98.43234
ABCE1	10.6975	10.1691
ABCF1	69.63903118153	43.774140533158004
ABCF2	16.43741	25.48123
ABCF2P1	0	0
ABCF2P2	0	0
ABCF3	56.49197436	55.262131872863996
ABCG1	10.05646766	8.86299603
ABCG2	0	0
ABCG4	0	0
ABCG5	0	0
ABCG8	0	0
ABHD1	1.45723	1.38185
ABHD10	12.74543	6.64025
ABHD11	22.233327	17.6866
ABHD11-AS1	0	0
ABHD12	9.33792	9.09841
ABHD12B	4.99303	9.72993
ABHD13	0	0
ABHD14A	18.19472	8.04791
ABHD14A-ACY1	0	9.68016
ABHD14B	42.277878432	38.7702
ABHD15	3.63684	3.39736
ABHD15-AS1	0	0
ABHD16A	64.0816612	86.39591
ABHD16B	0.565044	0.550551
ABHD17A	142.361175	129.01729
ABHD17AP1	0	0
ABHD17AP3	0	0
ABHD17AP4	0	0
ABHD17AP5	0	0
ABHD17AP6	0	0
ABHD17AP7	0	0
ABHD17AP8	0	0
ABHD17AP9	0	0
ABHD17B	4.82556	4.70179
ABHD17C	0	0
ABHD18	4.50298	2.924998
ABHD2	10.8205417	10.543012599999999
ABHD3	40.17706	65.08529163161
ABHD4	8.39001	8.17482
ABHD5	0	0
ABHD6	0	0
ABHD8	10.47055	10.202
ABI1	21.80595087414	21.246699999999997
ABI2	14.12572501300528	14.33092301814043
ABI3	11.6479	17.02371
ABI3BP	0	0
ABL1	2.79114	2.71956
ABL2	4.75177144452	4.62989810676
ABLIM1	78.2785584753541	91.3166
ABLIM2	0	0
ABLIM3	0	0
ABO	0.31623	0.616239
ABR	108.42187700000001	66.74593
ABRA	0	0
ABRACL	45.0996	41.0133
ABT1	6.89674	6.88171
ABT1P1	0	0
ABTB1	151.13099	144.40426
ABTB2	1.65196	1.60959
AC000003.1	0	0
AC000029.1	0	0
