gene	sample	expression
A1CF	s1	317.722091092
A1CF	s2	293.341077233
A1CF	s3	217.29984394
A1CF	s4	324.780988219
A1CF	s5	249.629991679
A2M	s1	151.4555084963
A2M	s2	530.8308537681
A2M	s3	837.1582820868
A2M	s4	692.7267212697
A2M	s5	2510.6753784012
A4GALT	s1	73.5127242659
A4GALT	s2	92.7179872741
A4GALT	s3	64.7259526687
A4GALT	s4	71.6024857641
A4GALT	s5	81.6793891073
A4GNT	s1	288.295490233
A4GNT	s2	259.639815987
A4GNT	s3	158.096971036
A4GNT	s4	282.407327493
A4GNT	s5	197.121171032
AAAS	s1	108.8647971364
AAAS	s2	106.8343779714
AAAS	s3	103.5054007621
AAAS	s4	50.6512120344
AAAS	s5	65.3096786825
AACS	s1	416.182811823
AACS	s2	416.379943056
AACS	s3	422.92198513
AACS	s4	384.271866969
AACS	s5	361.218142062
AADAC	s1	41.104199057
AADAC	s2	35.57505177
AADAC	s3	31.5239017515
AADAC	s4	54.715728732
AADAC	s5	45.1289891585
AAGAB	s1	157.7216165572
AAGAB	s2	167.1217438927
AAGAB	s3	248.6216484921
AAGAB	s4	144.6804640035
AAGAB	s5	207.9310534919
AAK1	s1	147.6484956899
AAK1	s2	148.677480999
AAK1	s3	144.7104697033
AAK1	s4	136.05728771
AAK1	s5	128.1414624923
AAMP	s1	788.908435428
AAMP	s2	783.90461212
AAMP	s3	663.195001426
AAMP	s4	660.359028835
AAMP	s5	570.334289204
AANAT	s1	12.85820561562
AANAT	s2	11.64818813879
AANAT	s3	14.30201579257
AANAT	s4	13.30661653097
AANAT	s5	13.65527203038
AARS	s1	2041.927177417
AARS	s2	2287.097824721
AARS	s3	1761.015446687
AARS	s4	1933.436641677
AARS	s5	1515.816624956
AARSD1	s1	200.3469984718
AARSD1	s2	220.525717484
AARSD1	s3	205.962339167
AARSD1	s4	173.0789538272
AARSD1	s5	180.947050763
AASDHPPT	s1	821.505729745
AASDHPPT	s2	850.524451604
AASDHPPT	s3	827.977947986
AASDHPPT	s4	809.090660142
AASDHPPT	s5	727.23706226
AASS	s1	12.63865380749
AASS	s2	13.82434240049
AASS	s3	10.47018899454
AASS	s4	12.61193201885
AASS	s5	12.15925149945
AATF	s1	643.7927509384
AATF	s2	876.86893104
AATF	s3	1113.280979554
AATF	s4	625.2873105851
AATF	s5	986.816008791
AATK	s1	174.384624838
AATK	s2	206.9496181132
AATK	s3	320.1326460027
AATK	s4	550.0583007121
AATK	s5	706.957427323
ABAT	s1	158.0548767446
ABAT	s2	193.1048599836
ABAT	s3	239.7509624893
ABAT	s4	265.2639162909
ABAT	s5	341.1028041447
ABCA1	s1	331.3180444901
ABCA1	s2	401.016374173
ABCA1	s3	431.9663354381
ABCA1	s4	1260.6228269326
ABCA1	s5	1681.486471764
ABCA12	s1	53.20838961598
ABCA12	s2	54.62964969772
ABCA12	s3	40.3164360361
ABCA12	s4	44.5870668601
ABCA12	s5	33.34990056562
ABCA2	s1	188.277137605
ABCA2	s2	154.524325595
ABCA2	s3	220.714735064
ABCA2	s4	161.22858178
ABCA2	s5	180.4149995
ABCA3	s1	63.4300333255
ABCA3	s2	54.7252796699
ABCA3	s3	65.9426986749
ABCA3	s4	62.7695700867
ABCA3	s5	53.7151795115
ABCA4	s1	32.6703844212
ABCA4	s2	36.9756158539
ABCA4	s3	36.5638343646
ABCA4	s4	33.7551259102
ABCA4	s5	37.9228448844
ABCA5	s1	265.8035883232
ABCA5	s2	299.402120056
ABCA5	s3	265.9987099032
ABCA5	s4	305.466431112
ABCA5	s5	343.9307274254
ABCA6	s1	102.2541836341
ABCA6	s2	120.8579046605
ABCA6	s3	85.3742026045
ABCA6	s4	133.6158265287
ABCA6	s5	155.3884699741
ABCA7	s1	382.004146454
ABCA7	s2	382.184289992
ABCA7	s3	315.174333792
ABCA7	s4	443.070754656
ABCA7	s5	427.662816384
ABCA8	s1	42.28399181979
ABCA8	s2	37.1839361169
ABCA8	s3	23.78400469914
ABCA8	s4	36.42288781158
ABCA8	s5	18.17410833212
ABCB1	s1	376.451092693
ABCB1	s2	313.7808149601
ABCB1	s3	495.2552522309
ABCB1	s4	260.1871057296
ABCB1	s5	199.5612202804
ABCB11	s1	30.8303896378
ABCB11	s2	32.8521439206
ABCB11	s3	23.6289034856
ABCB11	s4	30.0646551018
ABCB11	s5	26.9344732162
ABCB4	s1	107.0303332157
ABCB4	s2	121.84465052003
ABCB4	s3	14.54873432311
ABCB4	s4	107.5482898231
ABCB4	s5	34.55371297128
ABCB6	s1	240.697910562
ABCB6	s2	287.97752682
ABCB6	s3	186.2891450155
ABCB6	s4	193.06160995
ABCB6	s5	174.2022371625
ABCB7	s1	369.0545624837
ABCB7	s2	456.8212436387
ABCB7	s3	486.3522934343
ABCB7	s4	236.3407600409
ABCB7	s5	390.836260125
ABCB8	s1	19.75428501754
ABCB8	s2	23.77158993839
ABCB8	s3	21.5103161388
ABCB8	s4	12.73738182568
ABCB8	s5	24.363119447
ABCB9	s1	106.4050510461
ABCB9	s2	151.2457612882
ABCB9	s3	33.9752822757
ABCB9	s4	78.6278954215
ABCB9	s5	38.8801501192
ABCC1	s1	799.95183112
ABCC1	s2	835.984617037
ABCC1	s3	757.85621873
ABCC1	s4	998.877219499
ABCC1	s5	1086.48302092
ABCC10	s1	721.031407052
ABCC10	s2	697.420550688
ABCC10	s3	634.314740935
ABCC10	s4	666.874853956
ABCC10	s5	604.871131685
ABCC2	s1	43.0939976333
ABCC2	s2	58.824452263
ABCC2	s3	33.8078370162
ABCC2	s4	38.0998412436
ABCC2	s5	40.1445928184
ABCC3	s1	55.6213170822
ABCC3	s2	110.6300189432
ABCC3	s3	249.2331457096
ABCC3	s4	98.911707321
ABCC3	s5	444.5659032756
ABCC4	s1	204.9970060625
ABCC4	s2	322.1232960988
ABCC4	s3	319.2426468532
ABCC4	s4	550.8691209665
ABCC4	s5	636.6356384597
ABCC5	s1	621.114213262
ABCC5	s2	541.480903763
ABCC5	s3	601.793911479
ABCC5	s4	758.190213727
ABCC5	s5	881.54711733
ABCC6	s1	12.82091880268
ABCC6	s2	14.14219509841
ABCC6	s3	13.79401824394
ABCC6	s4	12.63347867866
ABCC6	s5	13.37143540375
ABCC8	s1	13.7881793381
ABCC8	s2	14.6580985825
ABCC8	s3	15.6863656902
ABCC8	s4	15.9512150256
ABCC8	s5	16.635537928
ABCC9	s1	96.267092425
ABCC9	s2	85.7899397912
ABCC9	s3	58.9286714438
ABCC9	s4	96.0815563068
ABCC9	s5	69.7263279628
ABCD1	s1	707.367424252
ABCD1	s2	683.079619386
ABCD1	s3	521.252431776
ABCD1	s4	737.374662458
ABCD1	s5	631.500681356
ABCD2	s1	110.4355746321
ABCD2	s2	88.0911140643
ABCD2	s3	55.840991493
ABCD2	s4	89.0659205964
ABCD2	s5	53.6533352279
ABCD3	s1	455.683600906
ABCD3	s2	512.54730475
ABCD3	s3	744.016086775
ABCD3	s4	371.127254796
ABCD3	s5	481.046682633
ABCD4	s1	232.03922954
ABCD4	s2	239.393449707
ABCD4	s3	218.161234377
ABCD4	s4	213.133269842
ABCD4	s5	202.315384585
ABCE1	s1	752.237599532
ABCE1	s2	762.025153057
ABCE1	s3	744.693070432
ABCE1	s4	568.267523193
ABCE1	s5	554.364247119
ABCF1	s1	1683.91856028
ABCF1	s2	1650.10564571
ABCF1	s3	1731.65736072
ABCF1	s4	1551.356224965
ABCF1	s5	1539.36666059
ABCF2	s1	241.690685921
ABCF2	s2	236.8866209846
ABCF2	s3	266.775854574
ABCF2	s4	173.7496483609
ABCF2	s5	184.2679787352
ABCF3	s1	511.347889476
ABCF3	s2	498.3405248
ABCF3	s3	399.750265806
ABCF3	s4	507.072815805
ABCF3	s5	453.302163584
ABCG1	s1	233.9631381969
