From	To	interaction
Dendritic_cells	TNFSF18	interacts
TNFSF18	TNFRSF18	interacts
TNFRSF18	T_cells_CD8	interacts
Dendritic_cells	TNFSF4	interacts
TNFSF4	TNFRSF4	interacts
TNFRSF4	T_cells_CD8	interacts
Dendritic_cells	TNFSF9	interacts
TNFSF9	TNFRSF9	interacts
TNFRSF9	T_cells_CD8	interacts
Dendritic_cells	CD274	interacts
CD274	PDCD1	interacts
PDCD1	T_cells_CD8	interacts
Dendritic_cells	PDCD1LG2	interacts
PDCD1LG2	PDCD1	interacts
T_cells_CD8	CD40LG	interacts
CD40LG	CD40	interacts
CD40	Dendritic_cells	interacts
HLA-A	Dendritic_cells	interacts
Dendritic_cells	CD80	interacts
CD80	CD28	interacts
CD28	T_cells_CD8	interacts
Dendritic_cells	CD86	interacts
CD86	CTLA4	interacts
CTLA4	T_cells_CD8	interacts
Dendritic_cells	ICOSLG	interacts
ICOSLG	ICOS	interacts
ICOS	T_cells_CD8	interacts
Dendritic_cells	PVR	interacts
PVR	TIGIT	interacts
TIGIT	T_cells_CD8	interacts
LAG3	T_cells_CD8	interacts
HLA-DPA1	Macrophage	interacts
Macrophage	PDCD1LG2	interacts
Macrophage	CD274	interacts
HLA-A	Macrophage	interacts
Tumor_cell	LGALS9	interacts
LGALS9	HAVCR2	interacts
HAVCR2	T_cells_CD8	interacts
Tumor_cell	CD274	interacts
HLA-A	Tumor_cell	interacts
LAG3	HLA-DPA1	peptide
