Node	group	UpBinRatio	label
A1CF	g1	1	NA
A1CF	g2	0.5	NA
A2M	g1	0	Ligand
A2M	g2	1	Ligand
A4GALT	g1	1	NA
A4GALT	g2	0.5	NA
A4GNT	g1	1	NA
A4GNT	g2	0.5	NA
AAAS	g1	1	NA
AAAS	g2	0.5	NA
AACS	g1	1	NA
AACS	g2	0.5	NA
AADAC	g1	0.5	NA
AADAC	g2	1	NA
AAGAB	g1	0.5	NA
AAGAB	g2	1	NA
AAK1	g1	1	NA
AAK1	g2	0.5	NA
AAMP	g1	1	NA
AAMP	g2	0.5	NA
AANAT	g1	0	Ligand
AANAT	g2	1	Ligand
AARS	g1	1	NA
AARS	g2	0.5	NA
AARSD1	g1	1	NA
AARSD1	g2	0.5	NA
AASDHPPT	g1	1	NA
AASDHPPT	g2	0.5	NA
AASS	g1	1	NA
AASS	g2	0.5	NA
AATF	g1	0.5	NA
AATF	g2	1	NA
AATK	g1	0	NA
AATK	g2	1	NA
ABAT	g1	0	NA
ABAT	g2	1	NA
ABCA1	g1	0	Receptor
ABCA1	g2	1	Receptor
ABCA12	g1	1	NA
ABCA12	g2	0.5	NA
ABCA2	g1	1	NA
ABCA2	g2	0.6666666666666666	NA
ABCA3	g1	0.5	NA
ABCA3	g2	1	NA
ABCA4	g1	1	NA
ABCA4	g2	0.6666666666666666	NA
ABCA5	g1	1	NA
ABCA5	g2	0.6666666666666666	NA
ABCA6	g1	0.5	NA
ABCA6	g2	1	NA
ABCA7	g1	0.5	NA
ABCA7	g2	1	NA
ABCA8	g1	1	NA
ABCA8	g2	0.5	NA
ABCB1	g1	1	NA
ABCB1	g2	0.5	NA
ABCB11	g1	1	NA
ABCB11	g2	0.5	NA
ABCB4	g1	1	NA
ABCB4	g2	0.5	NA
ABCB6	g1	1	NA
ABCB6	g2	0.5	NA
ABCB7	g1	0.5	NA
ABCB7	g2	1	NA
ABCB8	g1	0.5	NA
ABCB8	g2	1	NA
ABCB9	g1	1	NA
ABCB9	g2	0.5	NA
ABCC1	g1	0.5	NA
ABCC1	g2	1	NA
ABCC10	g1	1	NA
ABCC10	g2	0.5	NA
ABCC2	g1	1	NA
ABCC2	g2	0.5	NA
ABCC3	g1	1	NA
ABCC3	g2	0.6666666666666666	NA
ABCC4	g1	1	NA
ABCC4	g2	0.6666666666666666	NA
ABCC5	g1	1	NA
ABCC5	g2	0.6666666666666666	NA
ABCC6	g1	0.5	NA
ABCC6	g2	1	NA
ABCC8	g1	0	NA
ABCC8	g2	1	NA
ABCC9	g1	1	NA
ABCC9	g2	0.5	NA
ABCD1	g1	1	NA
ABCD1	g2	0.5	NA
ABCD2	g1	1	NA
ABCD2	g2	0.5	NA
ABCD3	g1	0.5	NA
ABCD3	g2	1	NA
ABCD4	g1	1	NA
ABCD4	g2	0.5	NA
ABCE1	g1	1	NA
ABCE1	g2	0.5	NA
ABCF1	g1	1	NA
ABCF1	g2	0.5	NA
ABCF2	g1	1	NA
ABCF2	g2	0.5	NA
ABCF3	g1	1	NA
ABCF3	g2	0.5	NA
ABCG1	g1	0	NA
ABCG1	g2	1	NA
ABCG2	g1	1	NA
ABCG2	g2	0.5	NA
ABCG4	g1	1	NA
ABCG4	g2	0.5	NA
ABCG5	g1	0.5	NA
ABCG5	g2	1	NA
ABHD10	g1	1	NA
ABHD10	g2	0.5	NA
ABHD11	g1	1	NA
ABHD11	g2	0.5	NA
ABHD14A	g1	1	NA
ABHD14A	g2	0.5	NA
ABHD2	g1	0	NA
ABHD2	g2	1	NA
ABHD3	g1	1	NA
ABHD3	g2	1	NA
Eosinophils	g1	0.5	Cell
Eosinophils	g2	1	Cell
Macrophage	g1	1	Cell
Macrophage	g2	0.5	Cell
Mast_cells	g1	1	Cell
Mast_cells	g2	0.6666666666666666	Cell
NK_cells	g1	0	Cell
NK_cells	g2	1	Cell
