From	To	Group	ratioScore
A2M	LRP1	g1	0
A2M	LRP1	g2	2
AANAT	MTNR1A	g1	0
AANAT	MTNR1A	g2	0
AANAT	MTNR1B	g1	0
AANAT	MTNR1B	g2	0
ABCA1	Eosinophils	g1	0
ABCA1	Eosinophils	g2	0
ABCA1	Macrophage	g1	0
ABCA1	Macrophage	g2	0
ABCA1	Mast_cells	g1	0
ABCA1	Mast_cells	g2	0.5
ABCA1	NK_cells	g1	1
ABCA1	NK_cells	g2	1
ACE	AGTR2	g1	0
ACE	AGTR2	g2	0
ACE	BDKRB2	g1	0
ACE	BDKRB2	g2	0.5
ACVR1	Macrophage	g1	0
ACVR1	Macrophage	g2	0
ACVR1	Mast_cells	g1	0
ACVR1	Mast_cells	g2	2
ACVR1B	Macrophage	g1	0
ACVR1B	Macrophage	g2	0
ACVR1B	Mast_cells	g1	0
ACVR1B	Mast_cells	g2	0.5
ACVR2A	Macrophage	g1	1
ACVR2A	Macrophage	g2	1
ACVR2A	NK_cells	g1	0
ACVR2A	NK_cells	g2	0
ADAM10	AXL	g1	1
ADAM10	AXL	g2	1
ADAM10	EPHA3	g1	0
ADAM10	EPHA3	g2	0
ADAM12	ITGA9	g1	1
ADAM12	ITGA9	g2	2
ADAM12	ITGB1	g1	0
ADAM12	ITGB1	g2	0
ADAM12	SDC4	g1	0
ADAM12	SDC4	g2	1
ADAM15	ITGA5	g1	0
ADAM15	ITGA5	g2	0.5
ADAM15	ITGA9	g1	1
ADAM15	ITGA9	g2	1
ADAM15	ITGAV	g1	0
ADAM15	ITGAV	g2	2
ADAM15	ITGB1	g1	0
ADAM15	ITGB1	g2	0
ADAM15	ITGB3	g1	1
ADAM15	ITGB3	g2	1
ADAM17	ERBB4	g1	0
ADAM17	ERBB4	g2	0.5
ADAM17	ITGA5	g1	0
ADAM17	ITGA5	g2	1
ADAM17	ITGB1	g1	0
ADAM17	ITGB1	g2	0
ADAM17	NOTCH1	g1	1
ADAM17	NOTCH1	g2	2
ADAM2	CD9	g1	0
ADAM2	CD9	g2	2
ADAM2	ITGA6	g1	1
ADAM2	ITGA6	g2	1
ADAM2	ITGA9	g1	0
ADAM2	ITGA9	g2	1
ADAM2	ITGB1	g1	1
ADAM2	ITGB1	g2	0
ADAM2	ITGB7	g1	1
ADAM2	ITGB7	g2	0
ADAM23	ITGA5	g1	0
ADAM23	ITGA5	g2	0
ADAM23	ITGB3	g1	0
ADAM23	ITGB3	g2	0.5
ADAM28	ITGA4	g1	1
ADAM28	ITGA4	g2	0
ADAM9	ITGA3	g1	0
ADAM9	ITGA3	g2	2
ADAM9	ITGA6	g1	0
ADAM9	ITGA6	g2	0
ADAM9	ITGAV	g1	1
ADAM9	ITGAV	g2	2
ADAM9	ITGB1	g1	0
ADAM9	ITGB1	g2	0
ADAM9	ITGB5	g1	1
ADAM9	ITGB5	g2	2
ADCYAP1	ADCYAP1R1	g1	0
ADCYAP1	ADCYAP1R1	g2	0
ADCYAP1	SCTR	g1	0
ADCYAP1	SCTR	g2	0.5
ADCYAP1	VIPR1	g1	0
ADCYAP1	VIPR1	g2	0
ADCYAP1	VIPR2	g1	0
ADCYAP1	VIPR2	g2	0.5
ADIPOQ	ADIPOR1	g1	0
ADIPOQ	ADIPOR1	g2	0.5
ADIPOQ	ADIPOR2	g1	0
ADIPOQ	ADIPOR2	g2	0.5
ADIPOR1	Eosinophils	g1	0
ADIPOR1	Eosinophils	g2	0
ADIPOR1	Macrophage	g1	0
ADIPOR1	Macrophage	g2	0
ADIPOR1	Mast_cells	g1	0
ADIPOR1	Mast_cells	g2	0.5
ADIPOR1	NK_cells	g1	0
ADIPOR1	NK_cells	g2	0.5
ADIPOR2	Eosinophils	g1	0
ADIPOR2	Eosinophils	g2	0
ADIPOR2	Macrophage	g1	0
ADIPOR2	Macrophage	g2	0
ADIPOR2	Mast_cells	g1	0
ADIPOR2	Mast_cells	g2	0.5
ADIPOR2	NK_cells	g1	1
ADIPOR2	NK_cells	g2	1
ADM	CALCR	g1	0
ADM	CALCR	g2	0
ADM	CALCRL	g1	0
ADM	CALCRL	g2	2
ADM	GPR182	g1	0
ADM	GPR182	g2	0.5
ADM	RAMP2	g1	0
ADM	RAMP2	g2	0.5
ADM2	CALCR	g1	0
ADM2	CALCR	g2	0
ADM2	CALCRL	g1	0
ADM2	CALCRL	g2	2
ADM2	RAMP1	g1	0
ADM2	RAMP1	g2	2
ADORA2B	Mast_cells	g1	0
ADORA2B	Mast_cells	g2	0.5
ADRA2B	Macrophage	g1	1
ADRA2B	Macrophage	g2	0
ADRB2	Eosinophils	g1	0
ADRB2	Eosinophils	g2	1
ADRB2	Macrophage	g1	0
ADRB2	Macrophage	g2	0.5
ADRB2	Mast_cells	g1	0
ADRB2	Mast_cells	g2	1
ADRB2	NK_cells	g1	1
ADRB2	NK_cells	g2	2
AGRN	ATP1A3	g1	0
AGRN	ATP1A3	g2	1
AGRN	LRP4	g1	0
AGRN	LRP4	g2	0
AGRN	MUSK	g1	0
AGRN	MUSK	g2	0
AGRP	MC3R	g1	2
AGRP	MC3R	g2	1
AGRP	MC4R	g1	1
AGRP	MC4R	g2	1
AGRP	MC5R	g1	2
AGRP	MC5R	g2	0
AGT	AGTR1	g1	1
AGT	AGTR1	g2	2
AGT	AGTR2	g1	0
AGT	AGTR2	g2	2
AGT	LRP2	g1	1
AGT	LRP2	g2	2
AGT	MAS1	g1	1
AGT	MAS1	g2	2
AHSG	INSR	g1	2
AHSG	INSR	g2	0
ALB	LRP2	g1	1
ALB	LRP2	g2	2
ALK	Macrophage	g1	0
ALK	Macrophage	g2	0
AMELX	LAMP1	g1	1
AMELX	LAMP1	g2	1
AMELY	LAMP1	g1	0
AMELY	LAMP1	g2	0
AMFR	Eosinophils	g1	0
AMFR	Eosinophils	g2	0
AMFR	Macrophage	g1	1
AMFR	Macrophage	g2	1
AMFR	Mast_cells	g1	1
AMFR	Mast_cells	g2	0
AMFR	NK_cells	g1	0
AMFR	NK_cells	g2	0
AMH	ACVR1	g1	1
AMH	ACVR1	g2	0
AMH	AMHR2	g1	0
AMH	AMHR2	g2	0
AMH	EGFR	g1	0
AMH	EGFR	g2	0
AMHR2	Mast_cells	g1	0
AMHR2	Mast_cells	g2	0.5
ANGPT1	ITGA5	g1	1
ANGPT1	ITGA5	g2	0
ANGPT1	TEK	g1	1
ANGPT1	TEK	g2	1
ANGPT1	TIE1	g1	0
ANGPT1	TIE1	g2	0.5
ANGPT2	TEK	g1	1
ANGPT2	TEK	g2	1
ANGPT4	TEK	g1	0.5
ANGPT4	TEK	g2	0
ANGPTL3	ITGA5	g1	0
ANGPTL3	ITGA5	g2	1
ANGPTL3	ITGAV	g1	0
ANGPTL3	ITGAV	g2	0
ANGPTL3	ITGB3	g1	0
ANGPTL3	ITGB3	g2	1
ANXA1	DYSF	g1	1
ANXA1	DYSF	g2	1
ANXA1	EGFR	g1	1
ANXA1	EGFR	g2	1
ANXA1	FPR1	g1	1
ANXA1	FPR1	g2	1
ANXA1	FPR2	g1	1
ANXA1	FPR2	g2	1
ANXA1	FPR3	g1	1
ANXA1	FPR3	g2	2
APLP2	Eosinophils	g1	0
APLP2	Eosinophils	g2	1
APLP2	Macrophage	g1	0
APLP2	Macrophage	g2	0.5
APLP2	Mast_cells	g1	0
APLP2	Mast_cells	g2	1
APLP2	NK_cells	g1	1
APLP2	NK_cells	g2	2
APOB	LDLR	g1	0
APOB	LDLR	g2	0
APOB	LRP2	g1	1
APOB	LRP2	g2	2
APOB	LSR	g1	1
APOB	LSR	g2	0
APOB	OLR1	g1	0
APOB	OLR1	g2	0.5
APOD	LEPR	g1	0
APOD	LEPR	g2	1
APOE	LDLR	g1	0
APOE	LDLR	g2	1
APOE	LRP1	g1	0
APOE	LRP1	g2	2
APOE	LRP2	g1	0
APOE	LRP2	g2	0
APOE	LRP5	g1	0
APOE	LRP5	g2	0
APOE	LRP8	g1	0
APOE	LRP8	g2	0.5
APOE	SCARB1	g1	0
APOE	SCARB1	g2	2
APOE	SORL1	g1	0
APOE	SORL1	g2	0.5
APOE	VLDLR	g1	1
APOE	VLDLR	g2	1
APP	CAV1	g1	0.5
APP	CAV1	g2	0
APP	CD74	g1	2
APP	CD74	g2	1
APP	FPR2	g1	0
APP	FPR2	g2	1
APP	GPC1	g1	1
APP	GPC1	g2	0
APP	LRP1	g1	1
APP	LRP1	g2	1
APP	NCSTN	g1	1
APP	NCSTN	g2	1
APP	TNFRSF21	g1	0
APP	TNFRSF21	g2	1
ARF1	INSR	g1	1
ARF1	INSR	g2	0
ARF1	PLD2	g1	1
ARF1	PLD2	g2	1
ARTN	GFRA1	g1	0
ARTN	GFRA1	g2	1
ARTN	GFRA3	g1	0
ARTN	GFRA3	g2	0.5
ARTN	RET	g1	0
ARTN	RET	g2	0.5
ASIP	ATRN	g1	0
ASIP	ATRN	g2	0.5
ASIP	F11R	g1	0
ASIP	F11R	g2	2
ASIP	MC1R	g1	0
ASIP	MC1R	g2	0.5
ASIP	MC2R	g1	0
ASIP	MC2R	g2	1
ASIP	MC3R	g1	0
ASIP	MC3R	g2	0
ASIP	MC4R	g1	0
ASIP	MC4R	g2	0.5
ASIP	MC5R	g1	0
ASIP	MC5R	g2	1
ATP6AP2	Eosinophils	g1	1
ATP6AP2	Eosinophils	g2	1
ATP6AP2	Macrophage	g1	0
ATP6AP2	Macrophage	g2	0.5
ATP6AP2	Mast_cells	g1	0
ATP6AP2	Mast_cells	g2	1
ATP6AP2	NK_cells	g1	0
ATP6AP2	NK_cells	g2	2
ATRN	Macrophage	g1	0
ATRN	Macrophage	g2	0.5
ATRN	Mast_cells	g1	0
ATRN	Mast_cells	g2	1
ATRN	NK_cells	g1	1
ATRN	NK_cells	g2	2
AVP	AVPR1A	g1	1
AVP	AVPR1A	g2	1
AVP	AVPR1B	g1	0
AVP	AVPR1B	g2	0
AVP	AVPR2	g1	1
AVP	AVPR2	g2	0
AVP	OXTR	g1	1
AVP	OXTR	g2	1
AZGP1	ITGAV	g1	0
AZGP1	ITGAV	g2	0
B2M	CD1A	g1	0.5
B2M	CD1A	g2	0
B2M	CD1B	g1	1
B2M	CD1B	g2	1
B2M	HFE	g1	1
B2M	HFE	g2	0
B2M	HLA-F	g1	0
B2M	HLA-F	g2	0
B2M	LILRB1	g1	0
B2M	LILRB1	g2	0
BAMBI	Mast_cells	g1	0
BAMBI	Mast_cells	g2	0.5
BDNF	NGFR	g1	0
BDNF	NGFR	g2	0
BDNF	NGFRAP1	g1	1
BDNF	NGFRAP1	g2	1
BDNF	NTRK2	g1	1
BDNF	NTRK2	g2	0
BDNF	SORT1	g1	0
BDNF	SORT1	g2	0.5
BGN	TLR2	g1	0
BGN	TLR2	g2	0.5
BGN	TLR4	g1	0
BGN	TLR4	g2	0.5
BMP10	ACVR2A	g1	0
BMP10	ACVR2A	g2	0.5
BMP10	ACVRL1	g1	0
BMP10	ACVRL1	g2	0
BMP10	BMPR1A	g1	0
BMP10	BMPR1A	g2	1
BMP10	BMPR1B	g1	0
BMP10	BMPR1B	g2	1
BMP10	BMPR2	g1	0
BMP10	BMPR2	g2	1
BMP10	ENG	g1	1
BMP10	ENG	g2	1
BMP15	ACVR2A	g1	0
BMP15	ACVR2A	g2	0.5
BMP15	BMPR1A	g1	0
BMP15	BMPR1A	g2	1
BMP15	BMPR1B	g1	0
BMP15	BMPR1B	g2	1
BMP15	BMPR2	g1	1
BMP15	BMPR2	g2	1
BMP2	ACVR1	g1	0
BMP2	ACVR1	g2	1
BMP2	ACVR2A	g1	0
BMP2	ACVR2A	g2	0
BMP2	ACVR2B	g1	0
BMP2	ACVR2B	g2	0
BMP2	BMPR1A	g1	0
BMP2	BMPR1A	g2	0
BMP2	BMPR1B	g1	0
BMP2	BMPR1B	g2	0
BMP2	BMPR2	g1	1
BMP2	BMPR2	g2	2
BMP2	ENG	g1	0
BMP2	ENG	g2	2
BMP3	ACVR2B	g1	0
BMP3	ACVR2B	g2	0
BMP4	BMPR1A	g1	1
BMP4	BMPR1A	g2	1
BMP4	BMPR1B	g1	1
BMP4	BMPR1B	g2	1
BMP4	BMPR2	g1	0
BMP4	BMPR2	g2	0
BMP5	BMPR1A	g1	1
BMP5	BMPR1A	g2	1
BMP6	ACVR1	g1	1
BMP6	ACVR1	g2	0
BMP6	ACVR2A	g1	1
BMP6	ACVR2A	g2	1
BMP6	BMPR1A	g1	1
BMP6	BMPR1A	g2	0
BMP6	BMPR1B	g1	1
BMP6	BMPR1B	g2	0
BMP6	BMPR2	g1	0
BMP6	BMPR2	g2	0
BMP7	ACVR1	g1	1
BMP7	ACVR1	g2	2
BMP7	ACVR2A	g1	0
BMP7	ACVR2A	g2	0
BMP7	ACVR2B	g1	0
BMP7	ACVR2B	g2	0
BMP7	BMPR1A	g1	0
BMP7	BMPR1A	g2	0
BMP7	BMPR1B	g1	0
BMP7	BMPR1B	g2	0
BMP7	BMPR2	g1	0
BMP7	BMPR2	g2	1
BMP7	ENG	g1	0
BMP7	ENG	g2	1
BMPR1A	Mast_cells	g1	1
BMPR1A	Mast_cells	g2	0
BMPR2	Macrophage	g1	0
BMPR2	Macrophage	g2	0.5
BMPR2	Mast_cells	g1	0
BMPR2	Mast_cells	g2	1
BMPR2	NK_cells	g1	1
BMPR2	NK_cells	g2	2
BST1	CAV1	g1	0
BST1	CAV1	g2	0
BTC	EGFR	g1	0
BTC	EGFR	g2	2
BTC	ERBB2	g1	0
BTC	ERBB2	g2	0
BTC	ERBB3	g1	0
BTC	ERBB3	g2	0.5
BTC	ERBB4	g1	0
BTC	ERBB4	g2	0.5
C14orf1	Macrophage	g1	0
C14orf1	Macrophage	g2	2
C14orf1	Mast_cells	g1	0
C14orf1	Mast_cells	g2	0
C14orf1	NK_cells	g1	0
C14orf1	NK_cells	g2	0.5
C1QA	CD93	g1	0
C1QA	CD93	g2	2
C1QA	CR1	g1	0
C1QA	CR1	g2	0.5
C1QA	CSPG4	g1	0
C1QA	CSPG4	g2	0
C1QB	LRP1	g1	0
C1QB	LRP1	g2	2
C1QTNF1	AVPR2	g1	1
C1QTNF1	AVPR2	g2	1
C3	C3AR1	g1	0
C3	C3AR1	g2	1
C3	C5AR2	g1	0
C3	C5AR2	g2	0.5
C3	CD19	g1	0
C3	CD19	g2	0
C3	CD46	g1	0
C3	CD46	g2	0.5
C3	CR1	g1	0
C3	CR1	g2	1
C3	ITGAM	g1	0
C3	ITGAM	g2	2
C3	ITGAX	g1	0
C3	ITGAX	g2	1
C3	ITGB2	g1	0
C3	ITGB2	g2	2
C3	LRP1	g1	1
C3	LRP1	g2	2
C3AR1	Eosinophils	g1	0
C3AR1	Eosinophils	g2	0
C3AR1	Macrophage	g1	0
C3AR1	Macrophage	g2	0
C3AR1	Mast_cells	g1	0
C3AR1	Mast_cells	g2	0.5
C4BPA	BMPR2	g1	0
C4BPA	BMPR2	g2	1
C4BPA	CD40	g1	1
C4BPA	CD40	g2	1
C4BPA	LRP1	g1	1
C4BPA	LRP1	g2	1
C5	C5AR1	g1	1
C5	C5AR1	g2	1
C5	C5AR2	g1	0
C5	C5AR2	g2	1
C5AR1	Eosinophils	g1	0
C5AR1	Eosinophils	g2	0
