Node	Group	UpBinRatio
A1CF	g1	1
A1CF	g2	0.5
A2M	g1	0
A2M	g2	1
A4GALT	g1	1
A4GALT	g2	0.5
A4GNT	g1	1
A4GNT	g2	0.5
AAAS	g1	1
AAAS	g2	0.5
AACS	g1	1
AACS	g2	0.5
AADAC	g1	0.5
AADAC	g2	1
AAGAB	g1	0.5
AAGAB	g2	1
AAK1	g1	1
AAK1	g2	0.5
AAMP	g1	1
AAMP	g2	0.5
AANAT	g1	0
AANAT	g2	1
AARS	g1	1
AARS	g2	0.5
AARSD1	g1	1
AARSD1	g2	0.5
AASDHPPT	g1	1
AASDHPPT	g2	0.5
AASS	g1	1
AASS	g2	0.5
AATF	g1	0.5
AATF	g2	1
AATK	g1	0
AATK	g2	1
ABAT	g1	0
ABAT	g2	1
ABCA1	g1	0
ABCA1	g2	1
ABCA12	g1	1
ABCA12	g2	0.5
ABCA2	g1	1
ABCA2	g2	0.6666666666666666
ABCA3	g1	0.5
ABCA3	g2	1
ABCA4	g1	1
ABCA4	g2	0.6666666666666666
ABCA5	g1	1
ABCA5	g2	0.6666666666666666
ABCA6	g1	0.5
ABCA6	g2	1
ABCA7	g1	0.5
ABCA7	g2	1
ABCA8	g1	1
ABCA8	g2	0.5
ABCB1	g1	1
ABCB1	g2	0.5
ABCB11	g1	1
ABCB11	g2	0.5
ABCB4	g1	1
ABCB4	g2	0.5
ABCB6	g1	1
ABCB6	g2	0.5
ABCB7	g1	0.5
ABCB7	g2	1
ABCB8	g1	0.5
ABCB8	g2	1
ABCB9	g1	1
ABCB9	g2	0.5
ABCC1	g1	0.5
ABCC1	g2	1
ABCC10	g1	1
ABCC10	g2	0.5
ABCC2	g1	1
ABCC2	g2	0.5
ABCC3	g1	1
ABCC3	g2	0.6666666666666666
ABCC4	g1	1
ABCC4	g2	0.6666666666666666
ABCC5	g1	1
ABCC5	g2	0.6666666666666666
ABCC6	g1	0.5
ABCC6	g2	1
ABCC8	g1	0
ABCC8	g2	1
ABCC9	g1	1
ABCC9	g2	0.5
ABCD1	g1	1
ABCD1	g2	0.5
ABCD2	g1	1
ABCD2	g2	0.5
ABCD3	g1	0.5
ABCD3	g2	1
ABCD4	g1	1
ABCD4	g2	0.5
ABCE1	g1	1
ABCE1	g2	0.5
ABCF1	g1	1
ABCF1	g2	0.5
ABCF2	g1	1
ABCF2	g2	0.5
ABCF3	g1	1
ABCF3	g2	0.5
ABCG1	g1	0
ABCG1	g2	1
ABCG2	g1	1
ABCG2	g2	0.5
ABCG4	g1	1
ABCG4	g2	0.5
ABCG5	g1	0.5
ABCG5	g2	1
ABHD10	g1	1
ABHD10	g2	0.5
ABHD11	g1	1
ABHD11	g2	0.5
ABHD14A	g1	1
ABHD14A	g2	0.5
ABHD2	g1	0
ABHD2	g2	1
ABHD3	g1	1
ABHD3	g2	0.6666666666666666
ABHD4	g1	0.5
ABHD4	g2	1
ABHD5	g1	0
ABHD5	g2	1
ABHD6	g1	0
ABHD6	g2	1
ABHD8	g1	0.5
ABHD8	g2	1
ABI1	g1	1
ABI1	g2	0.6666666666666666
ABI2	g1	1
ABI2	g2	0.5
ABL1	g1	1
ABL1	g2	0.5
ABL2	g1	1
ABL2	g2	0.5
ABLIM1	g1	1
ABLIM1	g2	0.5
ABLIM3	g1	1
ABLIM3	g2	0.5
ABO	g1	0
ABO	g2	1
ABP1	g1	0.5
ABP1	g2	1
ABR	g1	1
ABR	g2	0.6666666666666666
ABT1	g1	0.5
ABT1	g2	1
ABTB2	g1	0.5
ABTB2	g2	1
ACAA1	g1	0.5
ACAA1	g2	1
ACAA2	g1	1
ACAA2	g2	0.6666666666666666
ACACA	g1	0
ACACA	g2	1
ACACB	g1	0.5
ACACB	g2	1
ACAD10	g1	0.5
ACAD10	g2	1
ACAD8	g1	1
ACAD8	g2	0.5
ACADL	g1	1
ACADL	g2	0.5
ACADM	g1	1
ACADM	g2	0.5
ACADS	g1	0.5
ACADS	g2	1
ACADSB	g1	1
ACADSB	g2	0.5
ACADVL	g1	1
ACADVL	g2	0.5
ACAN	g1	0.5
ACAN	g2	1
ACAP1	g1	1
ACAP1	g2	0.5
ACAP2	g1	0.5
ACAP2	g2	1
ACAT1	g1	1
ACAT1	g2	0.5
ACAT2	g1	1
ACAT2	g2	0.5
ACBD3	g1	1
ACBD3	g2	0.5
ACBD4	g1	1
ACBD4	g2	0.5
ACCN1	g1	1
ACCN1	g2	0.5
ACCN2	g1	1
ACCN2	g2	0.5
ACCN3	g1	1
ACCN3	g2	0.5
ACCN4	g1	0
ACCN4	g2	1
ACD	g1	1
ACD	g2	0.5
ACE	g1	1
ACE	g2	0.6666666666666666
ACE2	g1	1
ACE2	g2	0.5
ACHE	g1	0.5
ACHE	g2	1
ACIN1	g1	1
ACIN1	g2	0.5
ACLY	g1	0.5
ACLY	g2	1
ACN9	g1	1
ACN9	g2	0.5
ACO1	g1	1
ACO1	g2	0.6666666666666666
ACO2	g1	1
ACO2	g2	0.5
ACOT11	g1	0
ACOT11	g2	1
ACOT13	g1	0.5
ACOT13	g2	1
ACOT7	g1	0.5
ACOT7	g2	1
ACOT8	g1	1
ACOT8	g2	0.5
ACOT9	g1	0
ACOT9	g2	1
ACOX1	g1	0
ACOX1	g2	1
ACOX2	g1	1
ACOX2	g2	0.5
ACOX3	g1	0.5
ACOX3	g2	1
ACOXL	g1	0.5
ACOXL	g2	1
ACP1	g1	1
ACP1	g2	0.5
ACP2	g1	0.5
ACP2	g2	1
ACP5	g1	1
ACP5	g2	0.6666666666666666
ACP6	g1	1
ACP6	g2	0.5
ACPP	g1	1
ACPP	g2	0.6666666666666666
ACRV1	g1	1
ACRV1	g2	0.5
ACSBG1	g1	1
ACSBG1	g2	0.5
ACSBG2	g1	1
ACSBG2	g2	0.5
ACSF2	g1	0
ACSF2	g2	1
ACSL1	g1	0
ACSL1	g2	1
ACSL3	g1	1
ACSL3	g2	0.6666666666666666
ACSL5	g1	1
ACSL5	g2	0.5
ACSL6	g1	1
ACSL6	g2	0.5
ACSM1	g1	0.5
ACSM1	g2	1
ACSM3	g1	0.5
ACSM3	g2	1
ACSM5	g1	1
ACSM5	g2	0.5
ACSS3	g1	1
ACSS3	g2	0.5
ACTA1	g1	1
ACTA1	g2	0.6666666666666666
ACTA2	g1	0.5
ACTA2	g2	1
ACTB	g1	0.5
ACTB	g2	1
ACTC1	g1	0.5
ACTC1	g2	1
ACTG1	g1	0.5
ACTG1	g2	1
ACTG2	g1	0.5
ACTG2	g2	1
ACTL6A	g1	1
ACTL6A	g2	0.5
ACTL6B	g1	1
ACTL6B	g2	0.6666666666666666
ACTL7A	g1	1
ACTL7A	g2	0.6666666666666666
ACTL7B	g1	0.5
ACTL7B	g2	1
ACTL8	g1	1
ACTL8	g2	0.6666666666666666
ACTN1	g1	1
ACTN1	g2	0.6666666666666666
ACTN2	g1	1
ACTN2	g2	0.5
ACTN3	g1	1
ACTN3	g2	0.5
ACTN4	g1	0.5
ACTN4	g2	1
ACTR10	g1	0
ACTR10	g2	1
ACTR1A	g1	1
ACTR1A	g2	0.6666666666666666
ACTR1B	g1	1
ACTR1B	g2	0.5
ACTR2	g1	1
ACTR2	g2	0.6666666666666666
ACTR3	g1	0
ACTR3	g2	1
ACTR3B	g1	0.5
ACTR3B	g2	1
ACTR5	g1	1
ACTR5	g2	0.5
ACTR6	g1	0.5
ACTR6	g2	1
ACTR8	g1	1
ACTR8	g2	0.5
ACVR1	g1	1
ACVR1	g2	0.6666666666666666
ACVR1B	g1	0
ACVR1B	g2	1
ACVR2A	g1	1
ACVR2A	g2	0.5
ACVR2B	g1	1
ACVR2B	g2	0.5
ACVRL1	g1	1
ACVRL1	g2	0.5
ACY1	g1	1
ACY1	g2	0.6666666666666666
ACYP1	g1	1
ACYP1	g2	0.5
ACYP2	g1	1
ACYP2	g2	0.5
ADA	g1	0.5
ADA	g2	1
ADAM10	g1	0.5
ADAM10	g2	1
ADAM11	g1	0.5
ADAM11	g2	1
ADAM12	g1	0.5
ADAM12	g2	1
ADAM15	g1	0.5
ADAM15	g2	1
ADAM17	g1	0
ADAM17	g2	1
ADAM18	g1	1
ADAM18	g2	0.5
ADAM19	g1	1
ADAM19	g2	0.5
ADAM2	g1	1
ADAM2	g2	0.6666666666666666
ADAM20	g1	1
ADAM20	g2	0.5
ADAM21	g1	1
ADAM21	g2	0.5
ADAM22	g1	0.5
ADAM22	g2	1
ADAM23	g1	1
ADAM23	g2	0.5
ADAM28	g1	1
ADAM28	g2	0.5
ADAM29	g1	0.5
ADAM29	g2	1
ADAM30	g1	1
ADAM30	g2	0.5
ADAM3A	g1	1
ADAM3A	g2	0.6666666666666666
ADAM5P	g1	1
ADAM5P	g2	0.5
ADAM7	g1	0.5
ADAM7	g2	1
ADAM8	g1	0
ADAM8	g2	1
ADAM9	g1	0
ADAM9	g2	1
ADAMDEC1	g1	1
ADAMDEC1	g2	0.6666666666666666
ADAMTS1	g1	1
ADAMTS1	g2	0.5
ADAMTS12	g1	1
ADAMTS12	g2	0.5
ADAMTS13	g1	0.5
ADAMTS13	g2	1
ADAMTS2	g1	1
ADAMTS2	g2	0.5
ADAMTS3	g1	0.5
ADAMTS3	g2	1
ADAMTS5	g1	1
ADAMTS5	g2	0.5
ADAMTS6	g1	0.5
ADAMTS6	g2	1
ADAMTS8	g1	0.5
ADAMTS8	g2	1
ADAMTSL2	g1	1
ADAMTSL2	g2	0.6666666666666666
ADAMTSL3	g1	1
ADAMTSL3	g2	0.5
ADAP1	g1	0
ADAP1	g2	1
ADAP2	g1	1
ADAP2	g2	0.6666666666666666
ADAR	g1	0.5
ADAR	g2	1
ADARB1	g1	1
ADARB1	g2	0.5
ADARB2	g1	0.5
ADARB2	g2	1
ADAT1	g1	1
ADAT1	g2	0.5
ADCK2	g1	1
ADCK2	g2	0.5
ADCK3	g1	1
ADCK3	g2	0.5
ADCY1	g1	1
ADCY1	g2	0.5
ADCY10	g1	1
ADCY10	g2	0.5
ADCY2	g1	1
ADCY2	g2	0.5
ADCY3	g1	0.5
ADCY3	g2	1
ADCY6	g1	1
ADCY6	g2	0.5
ADCY7	g1	0.5
ADCY7	g2	1
ADCY8	g1	0.5
ADCY8	g2	1
ADCY9	g1	0.5
ADCY9	g2	1
ADCYAP1	g1	0.5
ADCYAP1	g2	1
ADCYAP1R1	g1	1
ADCYAP1R1	g2	0.5
ADD1	g1	1
ADD1	g2	0.5
ADD2	g1	1
ADD2	g2	0.5
ADD3	g1	1
ADD3	g2	0.5
ADH1A	g1	0.5
ADH1A	g2	1
ADH1B	g1	0.5
ADH1B	g2	1
ADH1C	g1	1
ADH1C	g2	0.5
ADH5	g1	1
