gene	CD4 T cells GSM723848	CD4 T cells GSM900542	CD4 T cells GSM372728	CD4 T cells GSM900581	CD8 T cells GSM1027255	CD8 T cells GSM146189	CD8 T cells GSM372814	CD8 T cells GSM1027250	NK cells GSM687248	NK cells GSM687245	NK cells GSM705426	NK cells GSM687244	B cells GSM746745	B cells GSM705406	B cells GSM658012	B cells GSM746748	Neutrophils GSM322292	Neutrophils GSM214983	Neutrophils GSM422128	Neutrophils GSM211084	Monocytes GSM422113	Monocytes GSM940516	Monocytes GSM940510	Monocytes GSM189451	Macrophages GSM411210	Macrophages GSM411215	Macrophages GSM411191	Macrophages GSM411197	Dendritic cells GSM140973	Dendritic cells GSM140953	Dendritic cells GSM128975	Dendritic cells GSM128972	Fibroblast GSM486528	Fibroblast GSM486532	Fibroblast GSM841027	Fibroblast GSM418757	Endothelium GSM143729	Endothelium GSM244653	Endothelium GSM244649	Endothelium GSM143732	clear-cell renal cell carcinoma GSM102459	clear-cell renal cell carcinoma GSM277700	clear-cell renal cell carcinoma GSM231984	clear-cell renal cell carcinoma GSM203801	low grade glioma GSM405331	low grade glioma GSM405318	low grade glioma GSM405399	low grade glioma GSM97842	breast adenocarcinoma ML_132D_U133_2	breast adenocarcinoma GSM585358	breast adenocarcinoma DB_66_U133_2	breast adenocarcinoma GSM137936
1557733_a_at	8.238416320732078	9.065300707371746	9.836141040315885	7.606131259514753	7.433130718516958	5.342354975339	7.746392994811289	7.551901850487171	5.642591012562465	5.806672938565083	4.099228304787372	5.600125833493221	3.719716177275034	3.694967639176305	3.396002147803265	3.5107771558629546	3.278878163854399	4.118603048613323	3.7631889481959	3.950436595061113	3.364601500023171	3.4960056837865667	3.681214857231251	3.550164056218384	3.4058636454955735	3.4782145283345716	3.3550926498870224	3.4834827355843223	3.435476406743927	3.5666090700851076	3.6501142876835946	3.3550091418968813	3.4795841643775787	3.578362705015484	3.2220930333423627	3.489950444539746	3.3862764139943353	3.554003830503935	3.360385932719671	3.297421064749024	3.623400996336919	3.741548673006629	3.3501967798796914	3.320871945972362	3.322260107966833	3.344690094085132	3.2445438492578083	3.394076406821044	3.467509437645157	3.5661902309299496	3.529431117000276	3.480638095931903
1558971_at	9.895396566688458	8.275046434978378	8.689654735806313	7.408799667620945	9.683861778183468	7.737772700852028	9.334032569052889	9.344573148477505	6.389495625806587	6.819786153337941	5.2189637145273915	6.313972468024998	4.096054987717881	3.7129158370809843	5.717553087411657	3.301763528095843	3.652470730621953	5.092316830075255	3.8444307810728375	3.696757007092295	3.5440071037729517	3.3772892952475484	4.2203161820205795	4.0899691959230315	3.2486224072208825	3.25352418785137	3.369259749047558	3.4482941301765755	3.9738037650983293	3.822010743489657	3.5523695219544935	3.5390546486079426	3.482172531679808	3.3011835684064215	3.2902974951355652	3.4397389602107813	3.3003420101158567	3.1680281445005645	3.1254321693302094	3.344975916207056	4.073989348633879	3.8036931041837567	3.2447154164257777	3.3760886165863657	3.133992846151887	3.1610389670906316	3.4015233603171335	3.3509134919322787	3.37472488499343	3.1803285190747324	3.527668697927248	3.618041380489173
1558972_s_at	10.958803114828706	9.059548004315694	9.327550138937129	9.079614364551004	10.45375835139389	7.640312466776958	10.025037674884404	10.453057543302533	6.919047941349834	7.194986521500758	3.708082527238624	6.19969831136916	3.701044956213862	3.22822091686261	6.314132984091797	3.568094875440405	3.5512479792714373	6.617191441903699	3.901163197928151	3.2116814144337207	3.4138151164901234	3.229434774407074	4.10236941945766	4.856013683370502	3.1532093197492466	3.1924668563652676	3.1602800702648275	3.2608623597823434	3.706793422861196	3.7844586832865375	3.7911926992109737	3.238203984406176	3.33008071540101	3.1536182863691664	3.1791509112887795	3.7731724381915317	3.2743915242114996	3.2314338211880553	3.1465760040557877	3.272806711234997	3.3626879664121057	4.568664214252295	3.37985079678668	3.4637849356879564	3.019341341822774	3.036916014065206	3.1675152944912184	3.27315101791023	3.372108497871869	3.615401572727422	3.977579161483326	3.662327519209445
1566448_at	7.013637358947626	7.431330210275786	8.03064810044916	8.328031949892255	6.0867923649416396	7.43137085313413	7.571598193980323	6.673904204437237	4.95315016722144	4.981867843184472	6.193016054233181	5.0481800835395925	4.604086480400825	5.043128920868968	5.608825667804635	4.7677335678513195	4.650227080046812	7.14667374446286	5.273359111864762	4.902927513854603	4.9771431433853435	4.497707321472072	5.10890413082834	4.775805452233871	5.097687097164281	4.941799224160731	4.978595659432937	5.089444828054722	4.790219836260665	4.578848611044473	5.39229402601634	4.2729991489728425	4.806590518212507	4.723457064448436	5.041462744148751	4.731359193079256	4.831707246561384	4.8905646659931055	4.6829172737285525	4.804472266322176	5.138964916997243	4.7151792056412285	4.469598362221397	4.834490093981608	4.4773934633150265	4.281880607088484	4.559262424607141	4.947108470836289	4.404501641999893	5.692045717746352	4.815548187944761	5.180393872343104
204777_s_at	8.971935121322513	10.79957015142636	11.39612116039478	10.828702333222628	11.967364419918342	8.953900273756743	9.397157022711573	10.196758332226066	5.218515347391399	5.15550484092914	5.220111382328463	5.244042206721367	5.11170000039477	5.623079606079818	7.241542547761745	7.171113729900946	5.553002504931681	6.889508805721157	5.980243971596821	5.569166202176052	5.587995363634238	5.611390500590323	6.2329086460322	5.798613000973838	5.216829693706933	5.224738638276385	4.9481536015195395	5.281548681128027	7.6885078379228275	7.43068273714538	7.648513578462412	7.319077252455037	5.147510857581203	5.66020388162171	5.775304933933214	5.0504092138864465	5.329959983184652	5.2754871535665835	5.00199973295295	5.443450223824911	8.05389304604528	10.141321197981757	5.857038982699907	9.923497208176933	4.769858308722765	4.913430048127414	5.196929748743067	7.835538426522461	4.880355564272342	5.687785011914526	4.896120712286618	4.9272284481502755
206485_at	7.165883538023997	8.016450405424447	7.6994317278013025	7.174535554193668	7.638914660022083	8.48860610469739	7.720799571638781	7.186875251993337	6.179704569855419	6.177520664183165	6.674690136376292	5.878117389894011	6.106294395351611	6.198358711171108	6.397778316068313	6.012183450140054	6.175087781463222	7.649196326717373	6.845761325462357	6.496040178586605	6.760668983015357	6.35631112795971	6.50353010433282	6.851919504955773	6.681179938639754	6.7987867671730475	6.61078217775349	6.686977114904483	6.395728721570164	6.488603752959471	6.196925549127794	6.7529322990440965	6.205152106013905	6.207297296907802	6.774747428505351	5.966283723696653	6.220424055218091	5.957605559537384	6.1178075669543555	6.198987482041946	6.296537434919518	6.010065749396189	6.365774139431014	6.294994619844543	5.839757720302057	5.863572872564836	5.589167956555143	6.262940218442453	5.870935290653579	6.328556014893569	6.1631459560093385	6.273119035795351
206545_at	7.7640508446045065	10.652830199755199	10.040590008463356	9.836208993666324	8.590116146407043	8.203506651763277	7.440426194157349	8.93854621662735	3.6010620902236745	3.5398790308583923	4.273919465029208	3.3348266739879344	3.859933156801181	3.7165789504407063	5.444793457691966	4.1598229530000514	3.737483244280234	4.718151724147718	3.840665653885016	3.5779074370786983	3.5074810257333806	3.900945059367892	4.064729141171553	5.642514332784301	3.352876162546231	3.3899144614985497	3.2830221633676504	3.5644154331559434	4.109252826826256	4.681671533022409	3.4944670116103658	3.4995045609928987	3.559932575581386	3.3406616398097695	3.3244847512484523	3.8039523321695556	3.6233328464064245	3.3529682772852056	3.3719619990658214	3.606438412876796	3.7650251244379804	4.516294788775838	3.60394392633568	3.952859484186022	3.371125155302932	3.3708240654118393	3.276005941688384	3.243676019405456	3.7456992560946434	3.5868445789178915	3.9543684339896434	3.6682232460804376
206804_at	9.647643567153514	9.702786641411853	8.000821521156448	10.778938919239744	9.69214677083282	9.110860306030645	8.318798929964304	10.141137732924927	5.297582842792195	5.159953177747287	6.720863698119413	5.0508976420815035	4.539474655550774	5.166605303239451	6.240051143202376	4.988228574998033	5.159970364047809	9.05852722345372	5.5555303048850195	5.251466038844372	5.690850385945902	5.367622899051225	5.636328913510963	6.40505763800139	5.411635187541268	5.297658041205233	4.973567450551557	5.176620962806156	5.44532745472241	5.494051585612261	5.332489360639642	5.0506494527103305	4.978224955384401	4.713834151486658	4.91671960697775	5.4175740258371565	5.244557272732379	4.708994995497062	4.827788921876817	4.9051993769910185	5.843047270251464	5.628440796920139	5.954125992139618	5.520069802152048	4.938382966292535	5.072489907699752	4.47781050160358	4.969563686626415	4.878715086564286	5.491071258785675	5.166843979570227	5.566175494793701
210439_at	10.408657754936415	11.346207321724924	8.57083363460536	9.209696765006784	8.267057916865197	9.186736004302947	5.83646744583545	8.373208286635508	7.809401294336424	7.655637772170959	4.167155868305586	8.250778433749415	4.140695669394966	4.027785736151874	5.3499093183826885	4.758558042983932	4.352462741326968	5.504635962938148	4.822582128508531	4.255440759932543	4.4717879224750625	4.1593691350882676	4.498678570201937	4.747956914182659	4.850966185695143	4.40956547186634	4.769610068972261	4.620502540204582	4.666820702615706	4.821879800616091	4.529082442181271	4.366307137174568	4.138513863523429	3.9505081385556546	4.196614872979	4.10407619291925	4.210273710446929	4.131195753016461	4.17101787649843	4.116584934197639	4.382999623086278	3.9847896817404127	4.703941400586408	4.272009119504394	3.912749248144604	4.19447085593378	3.724002209447018	3.9779472950084545	4.086882637636946	4.757749987324218	5.70547155373023	4.104721502063349
210607_at	7.50041067381341	8.456853386927211	9.08926800753963	7.258551688318085	9.7090343554947	7.674375348849852	7.5912951166432245	9.187729124886863	6.383357401701325	6.694562601711284	4.833309680550873	6.964561530352844	6.214547403172651	5.218837672838875	6.966457082344279	5.612868332456444	4.89892690627146	5.468326956510166	4.852625237082479	4.595540918141419	6.2827406788592155	5.76649579786922	4.853379017680058	4.408769136157338	4.736641506837681	4.5772402326056225	6.175352157729465	4.819769409317982	5.257535975578199	5.195202377951605	4.235441923351033	3.9539006714783578	4.586132223341261	5.280054246265892	4.693204007935843	5.229639753327552	4.289134078942145	4.302438937528468	4.710488130706861	3.747254644488351	4.146512505563604	5.163491658721216	5.457796790673918	4.584181615676569	4.808745145009466	4.2563665545616205	4.809435505613536	4.052020990976081	5.170167648865234	4.924138593713093	4.8627806536200815	3.840984702381683
