GeneSymbol	Mix1	Mix2	Mix3	Mix4	Mix5
A1CF	317.722091092	293.341077233	217.29984394	324.780988219	249.629991679
A2M	151.4555084963	530.8308537681	837.1582820868	692.7267212697	2510.6753784012
A4GALT	73.5127242659	92.7179872741	64.7259526687	71.6024857641	81.6793891073
A4GNT	288.295490233	259.639815987	158.096971036	282.407327493	197.121171032
AAAS	108.8647971364	106.8343779714	103.5054007621	50.6512120344	65.3096786825
AACS	416.182811823	416.379943056	422.92198513	384.271866969	361.218142062
AADAC	41.104199057	35.57505177	31.5239017515	54.715728732	45.1289891585
AAGAB	157.7216165572	167.1217438927	248.6216484921	144.6804640035	207.9310534919
AAK1	147.6484956899	148.677480999	144.7104697033	136.05728771	128.1414624923
AAMP	788.908435428	783.90461212	663.195001426	660.359028835	570.334289204
AANAT	12.85820561562	11.64818813879	14.30201579257	13.30661653097	13.65527203038
AARS	2041.927177417	2287.097824721	1761.015446687	1933.436641677	1515.816624956
AARSD1	200.3469984718	220.525717484	205.962339167	173.0789538272	180.947050763
AASDHPPT	821.505729745	850.524451604	827.977947986	809.090660142	727.23706226
AASS	12.63865380749	13.82434240049	10.47018899454	12.61193201885	12.15925149945
AATF	643.7927509384	876.86893104	1113.280979554	625.2873105851	986.816008791
AATK	174.384624838	206.9496181132	320.1326460027	550.0583007121	706.957427323
ABAT	158.0548767446	193.1048599836	239.7509624893	265.2639162909	341.1028041447
ABCA1	331.3180444901	401.016374173	431.9663354381	1260.6228269326	1681.486471764
ABCA12	53.20838961598	54.62964969772	40.3164360361	44.5870668601	33.34990056562
ABCA2	188.277137605	154.524325595	220.714735064	161.22858178	180.4149995
ABCA3	63.4300333255	54.7252796699	65.9426986749	62.7695700867	53.7151795115
ABCA4	32.6703844212	36.9756158539	36.5638343646	33.7551259102	37.9228448844
ABCA5	265.8035883232	299.402120056	265.9987099032	305.466431112	343.9307274254
ABCA6	102.2541836341	120.8579046605	85.3742026045	133.6158265287	155.3884699741
ABCA7	382.004146454	382.184289992	315.174333792	443.070754656	427.662816384
ABCA8	42.28399181979	37.1839361169	23.78400469914	36.42288781158	18.17410833212
ABCB1	376.451092693	313.7808149601	495.2552522309	260.1871057296	199.5612202804
ABCB11	30.8303896378	32.8521439206	23.6289034856	30.0646551018	26.9344732162
ABCB4	107.0303332157	121.84465052003	14.54873432311	107.5482898231	34.55371297128
ABCB6	240.697910562	287.97752682	186.2891450155	193.06160995	174.2022371625
ABCB7	369.0545624837	456.8212436387	486.3522934343	236.3407600409	390.836260125
ABCB8	19.75428501754	23.77158993839	21.5103161388	12.73738182568	24.363119447
ABCB9	106.4050510461	151.2457612882	33.9752822757	78.6278954215	38.8801501192
ABCC1	799.95183112	835.984617037	757.85621873	998.877219499	1086.48302092
ABCC10	721.031407052	697.420550688	634.314740935	666.874853956	604.871131685
ABCC2	43.0939976333	58.824452263	33.8078370162	38.0998412436	40.1445928184
ABCC3	55.6213170822	110.6300189432	249.2331457096	98.911707321	444.5659032756
ABCC4	204.9970060625	322.1232960988	319.2426468532	550.8691209665	636.6356384597
ABCC5	621.114213262	541.480903763	601.793911479	758.190213727	881.54711733
ABCC6	12.82091880268	14.14219509841	13.79401824394	12.63347867866	13.37143540375
ABCC8	13.7881793381	14.6580985825	15.6863656902	15.9512150256	16.635537928
ABCC9	96.267092425	85.7899397912	58.9286714438	96.0815563068	69.7263279628
ABCD1	707.367424252	683.079619386	521.252431776	737.374662458	631.500681356
ABCD2	110.4355746321	88.0911140643	55.840991493	89.0659205964	53.6533352279
ABCD3	455.683600906	512.54730475	744.016086775	371.127254796	481.046682633
ABCD4	232.03922954	239.393449707	218.161234377	213.133269842	202.315384585
ABCE1	752.237599532	762.025153057	744.693070432	568.267523193	554.364247119
ABCF1	1683.91856028	1650.10564571	1731.65736072	1551.356224965	1539.36666059
ABCF2	241.690685921	236.8866209846	266.775854574	173.7496483609	184.2679787352
ABCF3	511.347889476	498.3405248	399.750265806	507.072815805	453.302163584
ABCG1	233.9631381969	225.5918852597	234.3165107355	380.451771526	471.3009357554
ABCG2	350.6534195061	383.6240491558	193.5095749285	303.9910721104	191.8585315377
ABCG4	338.318462485	316.393985908	209.900458951	340.305072588	235.137079293
ABCG5	18.44968888232	21.14618876575	14.37849209751	25.45736484687	26.71968917568
ABHD10	1055.95217921	1071.446844351	845.242807178	998.083025842	835.350779452
ABHD11	520.491199034	557.941203907	382.451946202	515.925979096	416.842539266
ABHD14A	756.835984132	748.733707816	433.593069993	553.571570089	351.114748936
ABHD2	352.1499410266	421.413715398	609.4983155562	586.432887127	732.9449362438
ABHD3	767.298653465	638.903720162	1063.145499597	763.477839279	973.091650058
ABHD4	913.838083594	914.794898731	663.517255468	1128.864172587	955.124899803
ABHD5	223.449744717	256.69690018	272.852013038	597.09953682	684.865938326
ABHD6	115.5984545075	134.8517825092	207.6835676728	147.7501490332	270.523024706
ABHD8	31.90926062083	43.655378979	82.50460118538	30.56282755958	74.3384593316
ABI1	1716.014571654	1554.987528944	1602.679248648	1593.861801448	1663.20962222
ABI2	669.06828457	599.596680639	379.946618998	624.560306155	400.08521436
ABL1	691.778701213	679.169341795	686.532047854	635.581082862	640.194861671
ABL2	290.99841117	272.616117006	197.099514241	314.303931668	262.516259963
ABLIM1	1722.007963892	1647.3417790044	754.830057549	938.4417779306	304.8576969244
ABLIM3	25.8046192924	25.19456551228	17.819561	24.44618963498	19.02597706576
ABO	15.49067193624	16.20802993844	18.53754396862	19.1156466822	22.61265170338
ABP1	115.3830953503	120.2693555796	91.0029831884	187.6368064668	201.2092340038
ABR	423.440051719	485.048270259	572.26804697	483.770988226	733.612884538
ABT1	480.729985942	528.416437012	649.214452585	408.205702706	519.025766777
ABTB2	327.684643189	389.599002471	294.586952609	613.398421609	756.584334074
ACAA1	716.563869364	835.865831536	712.409619766	1007.777508988	1069.295693329
ACAA2	340.6565555126	514.9512407357	1116.7710943592	342.0532456982	885.9075798097
ACACA	46.2667601601	68.6236948878	81.0336827028	92.235090259	109.8350464613
ACACB	187.6743186009	209.8191692898	120.475315457	229.6380640731	209.1967431957
ACAD10	211.3336671824	257.6454322778	171.8493283349	212.224031542	236.2229616585
ACAD8	509.339784267	491.092182772	425.557757994	489.86975271	435.161273174
ACADL	52.3551318485	45.218662468	39.8069933708	52.8513624578	39.2611922145
ACADM	1317.732652459	1123.674685094	960.257876009	991.183354768	663.127024318
ACADS	242.982927893	267.717714561	290.137278288	222.356713094	269.524025531
ACADSB	115.3200451283	120.6274899063	92.4870415241	98.2307465517	92.3779113129
ACADVL	2852.41236896	3362.31674371	2396.95675825	2483.71518555	2269.51778805
ACAN	150.115804831	156.588496661	141.983266324	215.869070095	227.875956482
ACAP1	622.0653006656	656.93277743	466.7711046651	416.3047121485	348.82484118
ACAP2	1197.821235085	1065.301395142	1052.655642104	1371.768573033	1264.775046609
ACAT1	1082.470371173	1101.064030104	854.93392472	820.2630054944	732.933318688
ACAT2	640.93023913	632.480798321	816.335100982	568.631378496	624.157112098
ACBD3	933.534156079	959.846587812	588.169874257	859.205174644	577.113754774
ACBD4	247.8211146315	304.5383443702	226.2190979507	174.55194497	189.2945480476
ACCN1	46.2494957065	48.8659950419	33.3649358281	47.0267470629	38.7365158265
ACCN2	186.6122763203	185.8772704854	95.4192099551	182.178295144	116.0439435539
ACCN3	332.608972909	311.717891719	189.330327702	351.066657248	240.284560279
ACCN4	42.3316882192	46.2374822206	50.6951300561	58.7834689044	62.7580851522
ACD	358.5772376885	327.7579029423	460.6931009267	275.8778748232	312.172458495
ACE	37.2681308472	44.4250336696	60.985855647	39.8096957888	133.6871050703
ACE2	75.8984672902	61.4751585172	42.4266270603	79.679846777	57.3422090815
ACHE	32.1129295929	74.5268792535	88.2404321504	26.2520614477	156.119247016
ACIN1	456.834494493	506.931998976	486.612697759	304.93455216	384.612563573
ACLY	822.465650322	901.915922253	966.194387298	737.067884024	869.678179114
ACN9	152.5037624711	140.7376461671	112.6629674585	108.3937500774	74.360623448
ACO1	568.983248564	580.704208198	571.327886589	602.412517277	629.937445593
ACO2	1071.320549715	1298.397959154	1076.133196601	792.703465701	887.825888647
ACOT11	120.5685984025	127.753781951	133.7546996291	173.1845977094	194.0600994674
ACOT13	500.996389519	597.642405735	773.229984091	460.002535245	772.387630789
ACOT7	248.799265153	303.828862138	306.474931852	229.686555041	319.611396847
ACOT8	511.776870376	450.963328472	386.982414465	466.002140278	360.186646821
ACOT9	327.2950480886	478.81983669	605.508061417	806.2043599169	1136.551365337
ACOX1	177.903124509	212.936041054	308.723258409	389.390567042	526.080427244
ACOX2	60.5360428001	72.0899528255	60.9638345543	49.0180488577	47.8360352567
ACOX3	160.8639031332	184.8077350525	183.2333268302	132.3780139973	179.8659729672
ACOXL	5.71412932739	5.85605110904	9.93484629412	4.29353499021	7.22173327873
ACP1	839.198829116	840.441713701	669.274839078	587.826880343	449.538321679
ACP2	633.514018392	862.290146493	1005.31143116	579.456606518	1416.487279274
ACP5	1045.560791146	1250.323739419	1919.918370275	1148.43253366	3095.048626525
ACP6	511.517418486	526.976848294	437.050394805	489.916602273	468.411260658
ACPP	154.2266090289	223.9009638022	178.1258799514	531.1329649221	613.6363836728
ACRV1	512.038092148	456.080728073	255.52794886	530.5935332	322.648207538
ACSBG1	107.4136709616	103.5215113851	57.9665218215	116.3716250614	84.693216271
ACSBG2	236.1361923794	200.1169143013	117.9573288829	242.2768490923	142.6575522345
ACSF2	60.43801750057	70.5838313695	78.56811488629	72.5351810128	97.83354794286
ACSL1	339.513013375	562.632092793	1015.709892154	2191.546370705	3061.950783166
ACSL3	257.801082709	293.452934591	347.568608934	292.557818033	398.416973154
ACSL5	655.612094625	615.914558513	665.245459006	547.624281522	490.103309253
ACSL6	164.2177491757	133.5770056927	85.4222130078	115.8791436985	63.4790498405
ACSM1	8.25721702269	11.90427081113	8.55971647683	6.9615104483	8.37335400694
ACSM3	89.1630865702	100.8060561964	73.1602560401	124.1879817276	121.4832287474
ACSM5	140.2059158987	129.1412540794	90.7499139787	144.3565193608	126.1055755156
ACSS3	227.977935306	216.026144038	154.570525091	237.1437277235	171.378315833
ACTA1	31.72156948804	40.9779673977	41.13120580021	33.26078679762	50.71425984146
ACTA2	392.023434229	451.064323177	517.901974805	353.864091528	492.27383393
ACTB	18271.7421929	18205.5207989	24549.0370161	17408.3443839	22578.5065305
ACTC1	239.2100405818	227.683489779	204.3578884086	249.574474956	247.3172889144
ACTG1	18904.5802138	18468.399234	21421.8520767	17051.3792579	18516.6362554
ACTG2	166.2180743292	179.932531904	175.9723043154	162.060484023	176.3743335346
ACTL6A	325.7043323008	346.3622204073	363.1255483989	236.7389444361	250.2571195331
ACTL6B	8.08056684191	8.60103462945	8.24531834512	8.1968992871	8.76111651993
ACTL7A	14.08363257271	15.80861302936	14.55725386051	15.40271361654	17.25097990621
ACTL7B	20.86608584532	22.70368994662	17.90667397716	28.4002770353	26.33590934094
ACTL8	21.3145985868	23.442682391599998	25.5899360839	23.0412268978	34.8637358278
ACTN1	682.8589902663	782.0907959599	776.6808396851	1289.0663890238	1789.544053453
ACTN2	83.1980610126	84.980047497	53.5076452811	82.5833651776	65.1972053146
ACTN3	144.5205250102	140.8507432229	114.5107729628	160.4710531633	139.3172332905
ACTN4	611.048256275	659.366225442	537.004871185	642.60306235	613.150721278
ACTR10	1507.778754858	1612.33278629	2054.55756629	1712.48654457	2011.69035871
ACTR1A	464.575303328	562.423761813	786.533616572	531.466738381	898.785210835
ACTR1B	1176.805082014	1188.0059786	903.539266273	943.140381542	754.625747126
ACTR2	3693.79620794	3756.25581525	4729.7077431	3696.5143306	4019.1793254
ACTR3	3941.00753285	3687.10750112	5085.76015764	4135.26938752	4675.26329274
